Order Date,Order ID,Title,Category,ASIN/ISBN,Quantity,Payment Amount
01/05/2025,112-3456789-0001234,HP LaserJet Ink Cartridge Black,Office Products,B08XYZ1234,2,89.99
01/12/2025,112-3456789-0001235,Logitech MX Master 3 Wireless Mouse,Electronics,B07S395RWD,1,79.99
01/20/2025,112-3456789-0001236,AmazonBasics Copy Paper 500 Sheets,Office Products,B01M0Q2UBR,3,42.75
02/03/2025,112-3456789-0002001,ASUS 27" Monitor Full HD,Electronics,B08CXZXNMZ,1,249.99
02/14/2025,112-3456789-0002002,Avery Labels Shipping Labels,Office Products,B00006BNNC,2,28.50
02/28/2025,112-3456789-0002003,Zoom Annual Subscription,Software,B09DIGITAL1,1,149.90
03/05/2025,112-3456789-0003001,USB-C Hub 7-in-1,Electronics,B07ZVKTP53,1,39.99
03/15/2025,112-3456789-0003002,Staples Heavy Duty Stapler,Office Products,B00005MFKG,1,24.99
03/22/2025,112-3456789-0003003,QuickBooks Online 1 Year,Software,B09QBO2025,1,299.00
04/02/2025,112-3456789-0004001,Ring Light 18 inch with Stand,Electronics,B08QLFLR6V,1,65.99
04/10/2025,112-3456789-0004002,Wheelmans Executive Desk Organizer,Office Products,B07KGLMN12,1,34.99
04/25/2025,112-3456789-0004003,Wireless Keyboard and Mouse Combo,Electronics,B07W6JQ52H,1,49.99
05/08/2025,112-3456789-0005001,Adobe Creative Cloud 1 Year,Software,B09ADO2025,1,599.88
05/16/2025,112-3456789-0005002,Banker's Box File Storage Boxes 12pk,Office Products,B0000AZ2GH,1,55.98
05/29/2025,112-3456789-0005003,Cable Matters USB-C Cable 3-Pack,Electronics,B00VUGOSI2,1,14.99
06/04/2025,112-3456789-0006001,Expandable File Folder Accordion,Office Products,B017W1BI5S,2,31.98
06/18/2025,112-3456789-0006002,Anker 65W USB-C Charger,Electronics,B08T8YHCQS,1,35.99
06/27/2025,112-3456789-0006003,Fellowes Paper Shredder,Office Products,B0734GXJHP,1,119.99
07/03/2025,112-3456789-0007001,Google Workspace Business Starter,Software,B09GWS2025,1,72.00
07/11/2025,112-3456789-0007002,Mesh Office Chair Ergonomic,Furniture,B09CHAIR25,1,299.99
07/22/2025,112-3456789-0007003,Multi-Function Color Printer,Electronics,B09PRINT25,1,189.99
08/05/2025,112-3456789-0008001,Canva Pro Annual Plan,Software,B09CANVA25,1,119.99
08/14/2025,112-3456789-0008002,Label Maker Brother P-touch,Office Products,B00IAQFT5C,1,44.99
08/29/2025,112-3456789-0008003,Laptop Stand Adjustable,Electronics,B07D7X5XMW,1,29.99
09/06/2025,112-3456789-0009001,WhatsApp Business API Subscription,Software,B09WAP2025,1,99.00
09/17/2025,112-3456789-0009002,Sharpie Markers 24-Pack,Office Products,B00006IFFP,2,19.98
09/25/2025,112-3456789-0009003,Blue Yeti USB Microphone,Electronics,B00N1YPXW2,1,129.99
10/02/2025,112-3456789-0010001,Dymo LabelWriter 450,Office Products,B00004Z7KR,1,89.99
10/15/2025,112-3456789-0010002,Slack Business Plan Annual,Software,B09SLK2025,1,87.50
10/28/2025,112-3456789-0010003,HDMI Cable 10ft 4K,Electronics,B014I8SSD0,2,19.98
11/04/2025,112-3456789-0011001,Trello Business Class Annual,Software,B09TRL2025,1,120.00
11/13/2025,112-3456789-0011002,Post-it Notes Super Sticky 24pk,Office Products,B07KWS3DKL,3,44.97
11/26/2025,112-3456789-0011003,Ring Video Doorbell Business,Electronics,B07Q3568RF,1,99.99
12/05/2025,112-3456789-0012001,Microsoft 365 Business Annual,Software,B09MS3652,1,99.99
12/12/2025,112-3456789-0012002,Scotch Heavy Duty Packaging Tape,Office Products,B00004Z5CR,4,27.96
12/20/2025,112-3456789-0012003,Webcam 1080p Logitech C920,Electronics,B006A2Q81M,1,69.99
